                  epoch,             train/loss,              test/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                0.78537,                0.69209,                0.52542,                      1,              0.0009802
                      1,                0.52613,                0.70814,                0.52542,                      1,              0.0009604
                      2,                0.51238,                 0.7582,                0.52542,                      1,              0.0009406
                      3,                0.44698,                0.85818,                0.52542,                      1,              0.0009208
                      4,                0.38578,                 0.8765,                0.52542,                      1,               0.000901
                      5,                0.32641,                 1.0618,                0.52542,                      1,              0.0008812
                      6,                0.27048,                 1.0044,                0.52542,                      1,              0.0008614
                      7,                0.24768,                  1.136,                0.52542,                      1,              0.0008416
                      8,                0.22756,                  1.055,                0.52542,                      1,              0.0008218
                      9,                0.22551,                 1.1586,                0.52542,                      1,               0.000802
                     10,                0.23002,                 1.4643,                0.52542,                      1,              0.0007822
                     11,                0.21314,                 1.3134,                0.52542,                      1,              0.0007624
                     12,                0.21167,                 1.3527,                0.52542,                      1,              0.0007426
                     13,                0.20526,                  1.184,                0.52542,                      1,              0.0007228
                     14,                0.20318,                 1.0884,                0.52542,                      1,               0.000703
                     15,                0.20442,                0.96163,                0.54237,                      1,              0.0006832
                     16,                 0.2028,                0.87238,                0.64407,                      1,              0.0006634
                     17,                0.20317,                0.71614,                0.67797,                      1,              0.0006436
                     18,                0.20158,                0.62328,                0.72881,                      1,              0.0006238
                     19,                0.20502,                0.48714,                0.79661,                      1,               0.000604
                     20,                0.20179,                 0.3728,                0.88136,                      1,              0.0005842
                     21,                0.20583,                0.32027,                0.94915,                      1,              0.0005644
                     22,                0.20288,                0.28469,                 0.9322,                      1,              0.0005446
                     23,                0.20301,                0.27368,                0.94915,                      1,              0.0005248
                     24,                0.19998,                0.26779,                 0.9661,                      1,               0.000505
                     25,                0.19928,                0.26846,                 0.9661,                      1,              0.0004852
                     26,                0.20136,                0.26849,                 0.9661,                      1,              0.0004654
                     27,                0.20327,                0.26927,                0.94915,                      1,              0.0004456
                     28,                  0.201,                0.26869,                 0.9661,                      1,              0.0004258
                     29,                0.20484,                0.27222,                 0.9661,                      1,               0.000406
                     30,                0.20051,                0.27307,                 0.9661,                      1,              0.0003862
                     31,                0.20146,                0.27556,                0.94915,                      1,              0.0003664
                     32,                0.20316,                0.27433,                0.94915,                      1,              0.0003466
                     33,                0.20357,                0.27516,                0.94915,                      1,              0.0003268
                     34,                0.20249,                0.27593,                0.94915,                      1,               0.000307
                     35,                0.20302,                0.27699,                0.94915,                      1,              0.0002872
                     36,                0.20027,                0.27713,                0.94915,                      1,              0.0002674
                     37,                0.20192,                0.27677,                0.94915,                      1,              0.0002476
                     38,                0.20039,                0.27594,                0.94915,                      1,              0.0002278
                     39,                0.20299,                0.27734,                0.94915,                      1,               0.000208
                     40,                0.20033,                0.27679,                0.94915,                      1,              0.0001882
                     41,                 0.2077,                0.27705,                0.94915,                      1,              0.0001684
                     42,                0.20166,                0.27789,                 0.9322,                      1,              0.0001486
                     43,                0.20138,                0.27829,                 0.9322,                      1,              0.0001288
                     44,                0.20043,                0.27955,                 0.9322,                      1,               0.000109
                     45,                0.20089,                0.27988,                 0.9322,                      1,               8.92e-05
                     46,                 0.1995,                0.28045,                 0.9322,                      1,               6.94e-05
                     47,                0.19998,                0.28085,                 0.9322,                      1,               4.96e-05
                     48,                0.19928,                0.28107,                 0.9322,                      1,               2.98e-05
                     49,                 0.2003,                0.28137,                 0.9322,                      1,                  1e-05
