                  epoch,             train/loss,              test/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                0.78537,                0.69209,                0.52542,                      1,              0.0009901
                      1,                0.52614,                0.70843,                0.52542,                      1,              0.0009802
                      2,                0.51366,                0.75973,                0.52542,                      1,              0.0009703
                      3,                0.44846,                0.86233,                0.52542,                      1,              0.0009604
                      4,                0.38793,                0.87609,                0.52542,                      1,              0.0009505
                      5,                0.32971,                 1.0785,                0.52542,                      1,              0.0009406
                      6,                0.27318,                0.98803,                0.52542,                      1,              0.0009307
                      7,                0.24896,                 1.1744,                0.52542,                      1,              0.0009208
                      8,                0.24456,                 1.3144,                0.52542,                      1,              0.0009109
                      9,                0.23244,                 1.3351,                0.52542,                      1,               0.000901
                     10,                0.23251,                  1.502,                0.52542,                      1,              0.0008911
                     11,                0.22411,                 1.5059,                0.52542,                      1,              0.0008812
                     12,                0.21713,                0.97842,                0.52542,                      1,              0.0008713
                     13,                0.22319,                  1.195,                0.52542,                      1,              0.0008614
                     14,                0.21475,                 1.2963,                0.52542,                      1,              0.0008515
                     15,                0.21487,                0.69451,                0.69492,                      1,              0.0008416
                     16,                0.21381,                0.58981,                0.72881,                      1,              0.0008317
                     17,                0.21268,                0.51469,                0.74576,                      1,              0.0008218
                     18,                0.20491,                0.46155,                0.76271,                      1,              0.0008119
                     19,                0.21016,                0.43463,                0.81356,                      1,               0.000802
                     20,                0.20607,                0.38749,                0.91525,                      1,              0.0007921
                     21,                0.21198,                 0.3583,                 0.9322,                      1,              0.0007822
                     22,                0.20787,                0.31063,                 0.9322,                      1,              0.0007723
                     23,                0.21447,                 0.3471,                 0.9322,                      1,              0.0007624
                     24,                0.20673,                0.41846,                0.88136,                      1,              0.0007525
                     25,                0.21896,                0.35738,                0.91525,                      1,              0.0007426
                     26,                0.20749,                0.36509,                0.89831,                      1,              0.0007327
                     27,                0.21496,                0.34104,                0.91525,                      1,              0.0007228
                     28,                0.20808,                0.34419,                 0.9322,                      1,              0.0007129
                     29,                0.21468,                0.36849,                 0.9322,                      1,               0.000703
                     30,                0.20252,                0.36882,                0.89831,                      1,              0.0006931
                     31,                0.20335,                0.38427,                0.86441,                      1,              0.0006832
                     32,                0.20635,                0.34091,                 0.9322,                      1,              0.0006733
                     33,                 0.2059,                0.36505,                 0.9322,                      1,              0.0006634
                     34,                0.20961,                0.35868,                 0.9322,                      1,              0.0006535
                     35,                0.20589,                0.33703,                0.94915,                      1,              0.0006436
                     36,                 0.2021,                0.33433,                 0.9322,                      1,              0.0006337
                     37,                0.20374,                0.32819,                0.94915,                      1,              0.0006238
                     38,                0.20084,                0.32232,                0.94915,                      1,              0.0006139
                     39,                0.20353,                0.32541,                0.94915,                      1,               0.000604
                     40,                0.20056,                0.32749,                 0.9322,                      1,              0.0005941
                     41,                0.20886,                0.33436,                 0.9322,                      1,              0.0005842
                     42,                0.20898,                0.35626,                0.91525,                      1,              0.0005743
                     43,                0.20588,                0.37312,                0.91525,                      1,              0.0005644
                     44,                0.20238,                0.39197,                0.89831,                      1,              0.0005545
                     45,                0.20262,                0.39829,                0.91525,                      1,              0.0005446
                     46,                 0.2001,                0.37997,                0.91525,                      1,              0.0005347
                     47,                0.20062,                0.36846,                 0.9322,                      1,              0.0005248
                     48,                0.19979,                0.35947,                 0.9322,                      1,              0.0005149
