                  epoch,             train/loss,              test/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                0.59654,                 1.2114,                0.57627,                      1,              0.0009901
                      1,                0.40554,                 1.7759,                0.57627,                      1,              0.0009802
                      2,                0.30327,                 1.5268,                0.64407,                      1,              0.0009703
                      3,                0.27316,                0.40224,                0.88136,                      1,              0.0009604
                      4,                0.24381,                0.57084,                0.79661,                      1,              0.0009505
                      5,                 0.2216,                0.50268,                0.79661,                      1,              0.0009406
                      6,                0.21237,                0.35185,                0.91525,                      1,              0.0009307
                      7,                0.21552,                0.35713,                0.88136,                      1,              0.0009208
                      8,                0.20932,                0.30742,                 0.9322,                      1,              0.0009109
                      9,                0.20654,                0.29146,                0.94915,                      1,               0.000901
                     10,                0.20402,                0.28865,                 0.9322,                      1,              0.0008911
                     11,                0.20274,                0.27597,                0.94915,                      1,              0.0008812
                     12,                0.20363,                0.27803,                0.94915,                      1,              0.0008713
                     13,                0.20025,                0.27771,                0.94915,                      1,              0.0008614
                     14,                0.20082,                0.27792,                0.94915,                      1,              0.0008515
                     15,                0.20198,                0.28184,                0.94915,                      1,              0.0008416
                     16,                0.20177,                0.28563,                0.94915,                      1,              0.0008317
                     17,                0.20243,                0.28223,                0.94915,                      1,              0.0008218
                     18,                 0.2008,                0.28802,                0.94915,                      1,              0.0008119
                     19,                0.20371,                0.28764,                0.94915,                      1,               0.000802
                     20,                0.20126,                0.29258,                0.94915,                      1,              0.0007921
                     21,                0.20417,                0.30775,                 0.9322,                      1,              0.0007822
                     22,                0.20302,                0.29758,                 0.9322,                      1,              0.0007723
                     23,                0.20094,                0.29982,                 0.9322,                      1,              0.0007624
                     24,                0.20023,                0.29946,                 0.9322,                      1,              0.0007525
                     25,                0.19997,                0.29622,                0.94915,                      1,              0.0007426
                     26,                0.20014,                0.29917,                0.94915,                      1,              0.0007327
                     27,                0.20098,                0.29581,                 0.9322,                      1,              0.0007228
                     28,                0.20003,                0.30022,                 0.9322,                      1,              0.0007129
                     29,                0.20114,                0.29821,                 0.9322,                      1,               0.000703
                     30,                0.19975,                0.29526,                 0.9322,                      1,              0.0006931
                     31,                0.20138,                0.29951,                 0.9322,                      1,              0.0006832
                     32,                0.20139,                0.30381,                 0.9322,                      1,              0.0006733
                     33,                0.20115,                0.29447,                 0.9322,                      1,              0.0006634
                     34,                0.20127,                0.29342,                0.94915,                      1,              0.0006535
                     35,                0.20083,                0.29284,                 0.9322,                      1,              0.0006436
                     36,                 0.1999,                0.29432,                 0.9322,                      1,              0.0006337
                     37,                 0.1997,                0.29755,                 0.9322,                      1,              0.0006238
                     38,                0.19937,                0.29402,                 0.9322,                      1,              0.0006139
                     39,                0.19986,                0.29539,                 0.9322,                      1,               0.000604
                     40,                0.19972,                0.29972,                 0.9322,                      1,              0.0005941
                     41,                0.20051,                0.29325,                 0.9322,                      1,              0.0005842
                     42,                0.20011,                0.29852,                 0.9322,                      1,              0.0005743
                     43,                0.20015,                0.29488,                 0.9322,                      1,              0.0005644
                     44,                0.19961,                0.29524,                 0.9322,                      1,              0.0005545
                     45,                 0.1996,                0.29435,                 0.9322,                      1,              0.0005446
                     46,                0.19939,                0.29446,                 0.9322,                      1,              0.0005347
                     47,                0.19943,                0.29483,                 0.9322,                      1,              0.0005248
                     48,                0.19917,                0.29496,                 0.9322,                      1,              0.0005149
                     49,                0.19908,                0.29455,                 0.9322,                      1,               0.000505
                     50,                0.19895,                0.29606,                 0.9322,                      1,              0.0004951
                     51,                0.19925,                0.29632,                 0.9322,                      1,              0.0004852
                     52,                0.19899,                0.29271,                 0.9322,                      1,              0.0004753
                     53,                0.19908,                0.29474,                 0.9322,                      1,              0.0004654
                     54,                0.19946,                0.29589,                 0.9322,                      1,              0.0004555
                     55,                0.19904,                 0.2957,                 0.9322,                      1,              0.0004456
                     56,                0.19894,                0.29524,                 0.9322,                      1,              0.0004357
                     57,                0.19906,                0.29488,                 0.9322,                      1,              0.0004258
