                  epoch,             train/loss,              test/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                0.59654,                 1.2114,                0.57627,                      1,              0.0009868
                      1,                0.40546,                 1.7738,                0.57627,                      1,              0.0009736
                      2,                0.30306,                 1.5165,                0.64407,                      1,              0.0009604
                      3,                0.27378,                0.40445,                0.88136,                      1,              0.0009472
                      4,                0.24405,                0.57695,                0.79661,                      1,               0.000934
                      5,                0.22065,                0.48578,                0.79661,                      1,              0.0009208
                      6,                0.21173,                0.35338,                0.91525,                      1,              0.0009076
                      7,                0.21567,                0.35671,                0.88136,                      1,              0.0008944
                      8,                0.20973,                0.30296,                0.94915,                      1,              0.0008812
                      9,                0.20686,                0.28367,                0.94915,                      1,               0.000868
                     10,                0.20416,                0.28607,                 0.9322,                      1,              0.0008548
                     11,                 0.2028,                0.27382,                0.94915,                      1,              0.0008416
                     12,                 0.2037,                0.27561,                0.94915,                      1,              0.0008284
                     13,                0.20031,                0.27623,                0.94915,                      1,              0.0008152
                     14,                0.20087,                0.27553,                0.94915,                      1,               0.000802
                     15,                  0.202,                0.27949,                0.94915,                      1,              0.0007888
                     16,                0.20167,                0.28439,                0.94915,                      1,              0.0007756
                     17,                0.20226,                0.28036,                0.94915,                      1,              0.0007624
                     18,                 0.2008,                0.28581,                0.94915,                      1,              0.0007492
                     19,                0.20359,                0.28791,                0.94915,                      1,               0.000736
                     20,                0.20124,                0.29052,                0.94915,                      1,              0.0007228
                     21,                0.20415,                0.30498,                 0.9322,                      1,              0.0007096
                     22,                0.20285,                 0.2959,                 0.9322,                      1,              0.0006964
                     23,                0.20076,                0.29484,                 0.9322,                      1,              0.0006832
                     24,                0.20025,                0.29921,                 0.9322,                      1,                0.00067
                     25,                0.20005,                0.29485,                0.94915,                      1,              0.0006568
                     26,                0.20006,                0.29606,                 0.9322,                      1,              0.0006436
                     27,                0.20112,                0.29546,                 0.9322,                      1,              0.0006304
                     28,                0.20005,                0.29723,                 0.9322,                      1,              0.0006172
                     29,                0.20123,                0.29607,                 0.9322,                      1,               0.000604
                     30,                0.19998,                0.29445,                 0.9322,                      1,              0.0005908
                     31,                0.20145,                0.29619,                 0.9322,                      1,              0.0005776
                     32,                0.20106,                0.29987,                 0.9322,                      1,              0.0005644
                     33,                0.20101,                0.29447,                 0.9322,                      1,              0.0005512
                     34,                0.20131,                0.29073,                0.94915,                      1,               0.000538
                     35,                0.20058,                 0.2931,                 0.9322,                      1,              0.0005248
                     36,                0.19989,                0.29123,                 0.9322,                      1,              0.0005116
                     37,                0.19954,                0.29422,                 0.9322,                      1,              0.0004984
                     38,                 0.1993,                0.29351,                 0.9322,                      1,              0.0004852
                     39,                0.20022,                0.29158,                 0.9322,                      1,               0.000472
                     40,                0.19975,                0.29663,                 0.9322,                      1,              0.0004588
                     41,                0.20102,                0.29061,                 0.9322,                      1,              0.0004456
                     42,                 0.2002,                 0.2941,                 0.9322,                      1,              0.0004324
                     43,                0.20005,                 0.2925,                 0.9322,                      1,              0.0004192
                     44,                0.19951,                0.29064,                 0.9322,                      1,               0.000406
                     45,                0.19938,                0.29007,                 0.9322,                      1,              0.0003928
                     46,                0.19932,                0.28986,                 0.9322,                      1,              0.0003796
                     47,                0.19929,                0.29137,                 0.9322,                      1,              0.0003664
                     48,                0.19894,                0.29175,                 0.9322,                      1,              0.0003532
                     49,                0.19909,                0.29033,                 0.9322,                      1,                0.00034
                     50,                0.19892,                0.29079,                 0.9322,                      1,              0.0003268
                     51,                0.19914,                0.29294,                 0.9322,                      1,              0.0003136
                     52,                0.19906,                0.29024,                 0.9322,                      1,              0.0003004
                     53,                0.19924,                0.29238,                 0.9322,                      1,              0.0002872
                     54,                0.19923,                0.29476,                 0.9322,                      1,               0.000274
                     55,                0.19894,                0.29334,                 0.9322,                      1,              0.0002608
                     56,                0.19895,                0.29338,                 0.9322,                      1,              0.0002476
                     57,                0.19894,                0.29375,                 0.9322,                      1,              0.0002344
                     58,                0.19886,                0.29366,                 0.9322,                      1,              0.0002212
                     59,                0.19887,                 0.2908,                 0.9322,                      1,               0.000208
                     60,                0.19885,                0.29182,                 0.9322,                      1,              0.0001948
                     61,                0.19928,                 0.2913,                 0.9322,                      1,              0.0001816
                     62,                0.19895,                0.29023,                 0.9322,                      1,              0.0001684
                     63,                0.19909,                0.29032,                 0.9322,                      1,              0.0001552
                     64,                0.19907,                0.29038,                 0.9322,                      1,               0.000142
                     65,                  0.199,                0.29292,                 0.9322,                      1,              0.0001288
                     66,                0.19901,                0.29311,                 0.9322,                      1,              0.0001156
                     67,                0.19882,                0.29271,                 0.9322,                      1,              0.0001024
                     68,                0.19899,                0.29251,                 0.9322,                      1,               8.92e-05
                     69,                0.19885,                0.29159,                 0.9322,                      1,                7.6e-05
                     70,                0.19905,                0.29203,                 0.9322,                      1,               6.28e-05
                     71,                0.19911,                0.29122,                 0.9322,                      1,               4.96e-05
                     72,                0.19873,                0.29123,                 0.9322,                      1,               3.64e-05
                     73,                 0.1988,                0.29042,                 0.9322,                      1,               2.32e-05
                     74,                0.19877,                0.29112,                 0.9322,                      1,                  1e-05
